Aircraft,Airline,Bl_Crew,Bl_Fuel,Bl_AircraftCost,Bl_Insurance,Bl_Taxes,Bl_DirMaint,Bl_BurdenMaint,Bl_Oth,Bl_Total,Mon_Rentals,Mon_Depr,Mon_Amort,Mon_Total,Op_ACinFleet,Op_StageLen,Op_SeatsPerDept,Op_GalPerBH,Day_Dept,Day_BH,Day_RPMs,Day_ASMs,Op_LoadFactor,PerASM_Crew,PerASM_AC,PerASM_Maint,PerASM_Total
CRJ-700,Skywest,248,925,445,4,31,216,,,1870,113099,25074,,138173,60,652,66,409,5.3,10.2,183779,228553,0.804,1.1,2,1,8.4
CRJ-700,Atlantic Southeast,332,1164,100,3,15,275,,,1889,716,25532,,26249,35,658,70,477,4.4,8.6,158507,204452,0.775,1.4,0.4,1.2,8
CRJ-700,American Eagle,291,765,271,,,224,38,2,1592,,83106,,83106,24,614,70,371,5.4,10.1,181239,233853,0.775,1.3,1.2,1.1,6.9
CRJ-700,Comair,372,923,345,7,24,219,80,3,1974,3186,90497,,93683,23,608,70,491,4.6,8.9,155275,195612,0.794,1.7,1.6,1.4,9
CRJ-700,Horizon,333,583,484,50,65,626,132,,2272,116552,25385,,141937,21,622,70,280,5.3,9.7,171690,232377,0.739,1.4,2,3.1,9.4
CRJ-700,Mesa,180,824,414,6,,299,,65,1788,98150,28041,,126191,17,558,66,436,5.6,10,166606,205303,0.812,0.9,2,1.5,8.7
CRJ-700,PSA,222,,497,3,,136,0,10,867,142104,3931,57,146093,14,365,70,471,7.1,9.7,144474,181818,0.795,1.2,2.6,0.7,4.6
A319,Northwest,528,1400,276,4,67,317,35,0,2628,5872,72475,,78347,65,801,124,705,4,9.3,317410,401920,0.79,1.2,0.6,0.8,6.1
A319,United,455,1476,271,5,72,523,178,12,2991,14376,58964,24347,97686,55,1200,120,731,3.9,11.9,460665,557712,0.826,1,0.6,1.5,6.4
A319,US Airways,564,1494,816,3,33,457,137,,3505,230511,6762,,237272,54,622,123,752,4.9,9.6,283636,374754,0.757,1.4,2.1,1.5,8.9
A319,Frontier,363,1445,601,8,100,301,75,,2889,184304,40786,,225090,47,911,129,695,5,12.3,454743,591939,0.768,0.8,1.3,0.8,6
A319,America West,442,1489,599,3,54,380,52,,3020,214821,4396,,219217,39,1042,124,744,4.4,12,465952,566303,0.823,0.9,1.3,0.9,6.4
A319,Spirit,298,987,801,39,47,223,,11,2406,394618,9544,,404162,17,870,139,481,6.8,16.6,646941,820088,0.789,0.6,1.6,0.4,4.9
